City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,Tuktoyaktuk,69.4541,-133.0374,5.0,85,100,11.5,CA,2022-03-08 05:44:48
141,Cabo San Lucas,22.8909,-109.9124,67.51,70,0,6.53,MX,2022-03-08 05:43:49
142,Ostrogozhsk,50.8664,39.0756,19.92,96,100,0.92,RU,2022-03-08 05:44:49
143,Hobyo,5.3505,48.5268,81.72,59,10,16.6,SO,2022-03-08 05:44:50
144,Port Lincoln,-34.7333,135.8667,65.68,64,82,21.74,AU,2022-03-08 05:44:51
145,Adwa,14.1646,38.8955,73.31,17,81,3.96,ET,2022-03-08 05:44:51
146,Manaure,11.7751,-72.4445,76.73,78,26,11.21,CO,2022-03-08 05:44:52
147,Alofi,-19.0595,-169.9187,82.29,83,70,4.61,NU,2022-03-08 05:44:52
148,Ngunguru,-35.6167,174.5,70.16,75,31,13.8,NZ,2022-03-08 05:44:53
149,Ust-Nera,64.5667,143.2,-5.03,92,18,2.82,RU,2022-03-08 05:44:53
150,Fougamou,-1.2154,10.5838,75.88,97,100,0.98,GA,2022-03-08 05:44:54
151,Valdivia,-39.8142,-73.2459,51.89,98,99,2.08,CL,2022-03-08 05:44:54
152,Rawson,-43.3002,-65.1023,60.12,68,35,9.48,AR,2022-03-08 05:44:55
153,Sokolo,14.7328,-6.1219,67.24,18,43,10.96,ML,2022-03-08 05:44:55
154,Fomboni,-12.28,43.7425,83.03,73,45,7.99,KM,2022-03-08 05:44:56
155,Saint-Philippe,-21.3585,55.7679,84.83,83,99,11.41,RE,2022-03-08 05:44:56
156,Auki,-8.7676,160.7034,82.27,80,100,1.16,SB,2022-03-08 05:44:57
157,Mayskiy,47.6931,40.1025,35.44,87,100,3.91,RU,2022-03-08 05:44:58
158,Lerwick,60.1545,-1.1494,42.8,80,93,26.06,GB,2022-03-08 05:44:58
159,Klaksvik,62.2266,-6.589,41.92,82,100,19.26,FO,2022-03-08 05:44:59
160,Pangnirtung,66.1451,-65.7125,-19.73,92,65,5.19,CA,2022-03-08 05:44:59
161,Souillac,-20.5167,57.5167,82.36,89,75,3.44,MU,2022-03-08 05:45:00
162,Ananindeua,-1.3656,-48.3722,76.91,94,40,3.44,BR,2022-03-08 05:45:00
163,Namibe,-15.1961,12.1522,72.55,66,67,4.05,AO,2022-03-08 05:45:01
164,Batsfjord,70.6345,29.7185,25.02,87,87,13.53,NO,2022-03-08 05:45:01
165,Hofn,64.2539,-15.2082,43.65,84,100,27.11,IS,2022-03-08 05:45:02
166,Praia Da Vitoria,38.7333,-27.0667,59.76,76,20,22.75,PT,2022-03-08 05:45:03
167,Petropavlovsk-Kamchatskiy,53.0452,158.6483,34.39,75,20,11.18,RU,2022-03-08 05:41:51
168,Kutum,14.2,24.6667,73.58,14,99,4.52,SD,2022-03-08 05:45:04
169,Paamiut,61.994,-49.6678,5.63,72,63,12.12,GL,2022-03-08 05:45:04
170,Beira,-19.8436,34.8389,82.49,78,40,2.3,MZ,2022-03-08 05:45:05
171,Felipe Carrillo Puerto,19.5833,-88.05,71.35,99,6,2.19,MX,2022-03-08 05:45:05
172,Durango,24.8333,-104.8333,49.17,25,0,7.74,MX,2022-03-08 05:42:18
173,Aykhal,66.0,111.5,-6.59,94,100,6.24,RU,2022-03-08 05:45:06
174,Saldanha,-33.0117,17.9442,60.85,84,0,10.94,ZA,2022-03-08 05:45:07
175,Rosarito,32.3333,-117.0333,56.35,55,0,3.71,MX,2022-03-08 05:40:39
176,Jamestown,42.097,-79.2353,31.32,66,100,12.66,US,2022-03-08 05:45:07
177,Hongjiang,27.11,109.9956,73.87,38,0,6.4,CN,2022-03-08 05:45:08
178,Urumqi,43.801,87.6005,41.95,65,63,13.42,CN,2022-03-08 05:45:08
179,Taldan,53.6667,124.8,29.48,65,99,3.87,RU,2022-03-08 05:46:09
180,Castro,-24.7911,-50.0119,64.63,88,48,1.45,BR,2022-03-08 05:46:09
181,Prince Rupert,54.3161,-130.3201,40.69,93,100,2.3,CA,2022-03-08 05:46:10
182,Khatanga,71.9667,102.5,-5.64,85,16,12.1,RU,2022-03-08 05:46:11
183,Kruisfontein,-34.0033,24.7314,68.88,84,96,3.51,ZA,2022-03-08 05:46:11
184,Waupun,43.6333,-88.7296,25.02,94,9,5.86,US,2022-03-08 05:46:12
185,Padang,-0.9492,100.3543,87.85,64,89,6.17,ID,2022-03-08 05:43:31
186,Wanning,18.8003,110.3967,72.91,52,27,12.64,CN,2022-03-08 05:46:12
187,Srednekolymsk,67.45,153.6833,-12.84,94,20,5.26,RU,2022-03-08 05:46:13
188,Eyl,7.9803,49.8164,80.35,55,22,14.85,SO,2022-03-08 05:46:14
189,Hanumangarh,29.5833,74.3167,84.58,21,6,6.67,IN,2022-03-08 05:46:15
190,Kavieng,-2.5744,150.7967,83.88,71,99,8.23,PG,2022-03-08 05:46:15
191,Sigli,5.3848,95.9609,82.62,74,92,8.77,ID,2022-03-08 05:46:16
192,Santa Maria,-29.6842,-53.8069,68.11,94,80,1.72,BR,2022-03-08 05:46:16
193,Pahrump,36.2083,-115.9839,47.05,21,0,5.99,US,2022-03-08 05:46:17
194,Mapiripan,2.8892,-72.1256,76.08,66,72,3.62,CO,2022-03-08 05:46:17
195,Zhangye,38.9342,100.4517,57.34,15,59,11.36,CN,2022-03-08 05:46:18
196,Severo-Kurilsk,50.6789,156.125,32.9,98,100,19.66,RU,2022-03-08 05:46:19
197,Alice Springs,-23.7,133.8833,85.55,21,0,13.8,AU,2022-03-08 05:44:18
198,Xuanhua,40.6103,115.0447,56.79,16,6,4.54,CN,2022-03-08 05:46:19
199,Careiro Da Varzea,-3.2003,-59.8119,75.81,97,100,4.16,BR,2022-03-08 05:46:20
200,Huarmey,-10.0681,-78.1522,73.83,73,99,3.42,PE,2022-03-08 05:46:21
201,Banfora,10.6333,-4.7667,78.51,17,9,7.4,BF,2022-03-08 05:46:22
202,Leningradskiy,69.3833,178.4167,3.43,93,31,2.37,RU,2022-03-08 05:46:22
203,Ambilobe,-13.2,49.05,81.12,85,100,4.83,MG,2022-03-08 05:46:23
204,Lashio,22.9333,97.75,91.81,21,30,4.81,MM,2022-03-08 05:46:23
205,Sitka,57.0531,-135.33,37.29,60,0,0.0,US,2022-03-08 05:46:24
206,Lake Havasu City,34.4839,-114.3224,59.0,13,0,16.11,US,2022-03-08 05:46:25
207,Ordu,40.9086,37.6845,32.5,98,100,7.74,TR,2022-03-08 05:46:25
208,Sosnovo-Ozerskoye,52.5249,111.5418,32.49,84,98,10.18,RU,2022-03-08 05:46:25
209,Asfi,32.2994,-9.2372,53.78,73,28,9.8,MA,2022-03-08 05:46:26
210,Oltu,40.5498,42.0013,31.95,66,72,5.68,TR,2022-03-08 05:46:27
211,Butaritari,3.0707,172.7902,80.71,82,91,16.93,KI,2022-03-08 05:46:27
212,Killybegs,54.6333,-8.45,37.72,78,67,24.65,IE,2022-03-08 05:46:28
213,Bonavista,48.6499,-53.1147,30.11,88,100,15.32,CA,2022-03-08 05:46:28
214,Dikson,73.5069,80.5464,-18.36,93,99,8.66,RU,2022-03-08 05:46:29
215,Seymchan,62.8833,152.4333,-9.2,87,98,1.5,RU,2022-03-08 05:46:30
216,Viedma,-40.8135,-62.9967,61.77,55,39,7.87,AR,2022-03-08 05:46:30
217,Bilma,18.6853,12.9164,79.52,12,97,11.25,NE,2022-03-08 05:46:31
218,Rio Grande,-32.035,-52.0986,68.11,86,77,5.12,BR,2022-03-08 05:44:52
219,Sambava,-14.2667,50.1667,80.76,78,100,5.1,MG,2022-03-08 05:46:32
220,Lasa,46.6166,10.7002,28.62,45,2,2.33,IT,2022-03-08 05:46:32
221,Abonnema,4.7084,6.7931,79.92,85,99,2.82,NG,2022-03-08 05:46:33
222,Petrovsk-Zabaykalskiy,51.273,108.843,38.26,73,94,3.33,RU,2022-03-08 05:46:34
223,Half Moon Bay,37.4636,-122.4286,56.79,49,0,0.0,US,2022-03-08 05:46:01
224,Superior,46.7208,-92.1041,22.17,60,0,12.66,US,2022-03-08 05:44:18
225,Hay River,60.8156,-115.7999,12.18,79,100,19.57,CA,2022-03-08 05:42:27
226,Fez,34.0372,-4.9998,50.25,81,75,6.91,MA,2022-03-08 05:46:35
227,Laguna,38.421,-121.4238,57.02,46,0,5.75,US,2022-03-08 05:47:35
228,Saint-Pierre,-21.3393,55.4781,85.91,68,99,2.3,RE,2022-03-08 05:47:36
229,Comodoro Rivadavia,-45.8667,-67.5,57.06,44,0,2.3,AR,2022-03-08 05:45:01
230,Eregli,37.5133,34.0467,36.52,95,96,4.52,TR,2022-03-08 05:47:37
231,Cabedelo,-6.9811,-34.8339,75.87,80,80,6.89,BR,2022-03-08 05:47:37
232,Bac Lieu,9.285,105.7244,87.28,54,38,20.51,VN,2022-03-08 05:47:38
233,Aripuana,-9.1667,-60.6333,71.76,100,100,2.57,BR,2022-03-08 05:47:38
234,Sola,-13.8833,167.55,83.98,71,75,7.7,VU,2022-03-08 05:47:39
235,Mattru,7.6244,-11.8332,73.71,79,5,1.16,SL,2022-03-08 05:47:40
236,Tabas,33.5959,56.9244,61.02,63,40,2.3,IR,2022-03-08 05:47:40
237,Hilo,19.7297,-155.09,70.25,91,63,1.01,US,2022-03-08 05:47:41
238,Torbay,47.6666,-52.7314,29.75,94,100,13.8,CA,2022-03-08 05:45:07
239,Saint-Louis,16.3333,-15.0,67.37,19,84,10.89,SN,2022-03-08 05:47:46
240,Asau,46.4333,26.4,29.75,79,99,3.6,RO,2022-03-08 05:47:46
241,Dingle,10.9995,122.6711,85.84,65,67,12.75,PH,2022-03-08 05:47:47
242,Monrovia,6.3005,-10.7969,76.77,93,18,4.83,LR,2022-03-08 05:47:47
243,Young,-32.6833,-57.6333,60.22,74,59,7.47,UY,2022-03-08 05:47:48
244,Vestmannaeyjar,63.4427,-20.2734,44.65,89,100,37.78,IS,2022-03-08 05:47:48
245,Katsuura,35.1333,140.3,48.11,88,90,15.12,JP,2022-03-08 05:47:49
246,Dunedin,-45.8742,170.5036,63.81,72,13,8.01,NZ,2022-03-08 05:47:39
